Captions,Filenames
a group of people sitting around a table with laptops .,/projectnb/cs585/kasimp93/show_and_tell/research/im2txt/$/im2txt/data/testing_images/image12.jpg
a group of men playing a game of soccer .,/projectnb/cs585/kasimp93/show_and_tell/research/im2txt/$/im2txt/data/testing_images/image4.jpg
a person riding a snowboard on a snowy slope,/projectnb/cs585/kasimp93/show_and_tell/research/im2txt/$/im2txt/data/testing_images/image14.jpg
a large group of motorcycles are parked on the side of the road .,/projectnb/cs585/kasimp93/show_and_tell/research/im2txt/$/im2txt/data/testing_images/image15.jpg
a view of a city skyline from a city .,/projectnb/cs585/kasimp93/show_and_tell/research/im2txt/$/im2txt/data/testing_images/image8.jpg
a large passenger jet sitting on top of an airport tarmac .,/projectnb/cs585/kasimp93/show_and_tell/research/im2txt/$/im2txt/data/testing_images/image9.jpg
a man is standing on a mountain with a mountain in the background .,/projectnb/cs585/kasimp93/show_and_tell/research/im2txt/$/im2txt/data/testing_images/image3.jpg
a young boy is playing with a frisbee .,/projectnb/cs585/kasimp93/show_and_tell/research/im2txt/$/im2txt/data/testing_images/image6.jpg
a group of men playing soccer on a field .,/projectnb/cs585/kasimp93/show_and_tell/research/im2txt/$/im2txt/data/testing_images/image7.jpg
a bird is perched on a branch in a tree .,/projectnb/cs585/kasimp93/show_and_tell/research/im2txt/$/im2txt/data/testing_images/image5.jpg
a couple of dogs that are standing on a field,/projectnb/cs585/kasimp93/show_and_tell/research/im2txt/$/im2txt/data/testing_images/image10.jpg
a dog laying on a couch with a stuffed animal .,/projectnb/cs585/kasimp93/show_and_tell/research/im2txt/$/im2txt/data/testing_images/image11.jpg
a man sitting on a rock with his foot on a horse .,/projectnb/cs585/kasimp93/show_and_tell/research/im2txt/$/im2txt/data/testing_images/image2.jpg
a cat is sitting in a bowl on a table .,/projectnb/cs585/kasimp93/show_and_tell/research/im2txt/$/im2txt/data/testing_images/image1.jpg
a giraffe standing in the middle of a grass field .,/projectnb/cs585/kasimp93/show_and_tell/research/im2txt/$/im2txt/data/testing_images/image13.jpg
